time,time_since_command,joint_name,commanded_norm,actual_norm,commanded_deg,actual_deg,raw_ticks,speed_raw,load_raw,current_raw,voltage,temperature,experiment_id,load_condition,measured_vel_deg_s
0.001161,6e-06,elbow_flex,-30,-0.0898,-29.373,-0.0879,1971,0,0,0,12.2,35,ramp,loaded,0.0
0.012054,0.010899,elbow_flex,-30,-0.0898,-29.373,-0.0879,1971,0,20,0,12.2,35,ramp,loaded,0.0
0.023229,0.022074,elbow_flex,-30,-0.0898,-29.373,-0.0879,1971,0,72,2,12.2,35,ramp,loaded,0.0
0.034236,0.033081,elbow_flex,-30,-0.0898,-29.373,-0.0879,1971,0,104,3,12.2,35,ramp,loaded,0.0
0.044678,0.043523,elbow_flex,-30,-0.2693,-29.373,-0.2637,1969,0,176,6,12.2,35,ramp,loaded,-16.836
0.055235,0.05408,elbow_flex,-30,-0.5386,-29.373,-0.5273,1966,-200,216,8,12.2,35,ramp,loaded,-24.969
0.065484,0.064329,elbow_flex,-30,-0.8977,-29.373,-0.8789,1962,-200,280,13,12.1,35,ramp,loaded,-34.306
0.076049,0.074894,elbow_flex,-30,-1.4363,-29.373,-1.4062,1956,-500,336,14,12.2,35,ramp,loaded,-49.91
0.086668,0.085513,elbow_flex,-30,-2.0646,-29.373,-2.0215,1949,-500,412,22,12.1,35,ramp,loaded,-57.943
0.096959,0.095804,elbow_flex,-30,-2.9623,-29.373,-2.9004,1939,-700,476,24,12.1,35,ramp,loaded,-85.405
0.107099,0.105944,elbow_flex,-30,-3.9497,-29.373,-3.8672,1928,-700,552,33,12.1,35,ramp,loaded,-95.345
0.117654,0.116499,elbow_flex,-30,-5.386,-29.373,-5.2734,1912,-1250,608,35,12.1,35,ramp,loaded,-133.226
0.127864,0.126709,elbow_flex,-30,-6.912,-29.373,-6.7676,1895,-1250,632,32,12.1,35,ramp,loaded,-146.347
0.138851,0.137696,elbow_flex,-30,-8.7074,-29.373,-8.5254,1875,-1700,656,23,12.2,35,ramp,loaded,-159.989
0.149401,0.148246,elbow_flex,-30,-10.772,-29.373,-10.5469,1852,-1700,600,10,12.2,35,ramp,loaded,-191.611
0.16013,0.158976,elbow_flex,-30,-12.5673,-29.373,-12.3047,1832,-2000,596,6,12.2,35,ramp,loaded,-163.836
0.171159,0.170005,elbow_flex,-30,-14.8115,-29.373,-14.502,1807,-2000,492,0,12.2,35,ramp,loaded,-199.229
0.181347,0.180192,elbow_flex,-30,-17.0557,-29.373,-16.6992,1782,-2250,456,0,12.2,35,ramp,loaded,-215.665
0.191903,0.190748,elbow_flex,-30,-18.7612,-29.373,-18.3691,1763,-2250,380,0,12.3,35,ramp,loaded,-158.194
0.202076,0.200921,elbow_flex,-30,-20.5566,-29.373,-20.127,1743,-2000,336,0,12.2,35,ramp,loaded,-172.801
0.212631,0.211476,elbow_flex,-30,-22.1724,-29.373,-21.709,1725,-1750,276,0,12.3,35,ramp,loaded,-149.882
0.222784,0.221629,elbow_flex,-30,-23.6984,-29.373,-23.2031,1708,-1750,212,0,12.2,35,ramp,loaded,-147.158
0.233398,0.232243,elbow_flex,-30,-25.0449,-29.373,-24.5215,1693,-1550,116,0,12.2,35,ramp,loaded,-124.213
0.24358,0.242425,elbow_flex,-30,-25.9425,-29.373,-25.4004,1683,-1550,100,0,12.2,35,ramp,loaded,-86.319
0.254177,3e-06,elbow_flex,-28,-26.4811,-27.4148,-25.9277,1677,-750,76,0,12.2,35,ramp,loaded,-49.759
0.265105,0.010931,elbow_flex,-28,-26.8402,-27.4148,-26.2793,1673,-750,104,0,12.2,35,ramp,loaded,-32.174
0.275704,0.021529,elbow_flex,-28,-27.0197,-27.4148,-26.4551,1671,-350,76,0,12.2,35,ramp,loaded,-16.586
0.285845,0.03167,elbow_flex,-28,-27.0197,-27.4148,-26.4551,1671,-350,40,0,12.2,35,ramp,loaded,0.0
0.296383,0.042208,elbow_flex,-28,-27.1993,-27.4148,-26.6309,1669,-100,1044,0,12.2,35,ramp,loaded,-16.682
0.306569,0.052395,elbow_flex,-28,-27.5583,-27.4148,-26.9824,1665,-100,1088,2,12.2,35,ramp,loaded,-34.508
0.317151,0.062977,elbow_flex,-28,-27.9174,-27.4148,-27.334,1661,-350,1100,2,12.2,35,ramp,loaded,-33.226
0.327345,0.073171,elbow_flex,-28,-27.9174,-27.4148,-27.334,1661,-350,1064,1,12.2,35,ramp,loaded,0.0
0.337511,0.083337,elbow_flex,-28,-27.9174,-27.4148,-27.334,1661,-50,1064,0,12.2,35,ramp,loaded,0.0
0.348647,0.094472,elbow_flex,-28,-28.0072,-27.4148,-27.4219,1660,-50,0,0,12.2,35,ramp,loaded,-7.893
0.359236,0.105062,elbow_flex,-28,-28.0072,-27.4148,-27.4219,1660,-50,0,0,12.2,35,ramp,loaded,0.0
0.370211,0.116036,elbow_flex,-28,-28.0072,-27.4148,-27.4219,1660,-50,0,0,12.2,35,ramp,loaded,0.0
0.380843,0.126668,elbow_flex,-28,-28.0072,-27.4148,-27.4219,1660,0,0,0,12.2,35,ramp,loaded,0.0
0.390989,0.136815,elbow_flex,-28,-28.0072,-27.4148,-27.4219,1660,0,0,0,12.2,35,ramp,loaded,0.0
0.401662,0.147487,elbow_flex,-28,-28.0072,-27.4148,-27.4219,1660,0,0,0,12.2,35,ramp,loaded,0.0
0.412448,0.158273,elbow_flex,-28,-28.0072,-27.4148,-27.4219,1660,0,0,0,12.2,35,ramp,loaded,0.0
0.422965,0.16879,elbow_flex,-28,-28.0072,-27.4148,-27.4219,1660,0,0,0,12.2,35,ramp,loaded,0.0
0.433126,0.178951,elbow_flex,-28,-28.0969,-27.4148,-27.5098,1659,0,0,0,12.2,35,ramp,loaded,-8.651
0.443702,0.189528,elbow_flex,-28,-28.0969,-27.4148,-27.5098,1659,0,0,0,12.2,35,ramp,loaded,0.0
0.454649,0.200474,elbow_flex,-28,-28.0969,-27.4148,-27.5098,1659,-50,0,0,12.2,35,ramp,loaded,0.0
0.465282,0.211107,elbow_flex,-28,-28.0969,-27.4148,-27.5098,1659,-50,0,0,12.2,35,ramp,loaded,0.0
0.475424,0.22125,elbow_flex,-28,-28.0969,-27.4148,-27.5098,1659,0,0,0,12.2,35,ramp,loaded,0.0
0.485995,0.23182,elbow_flex,-28,-28.0969,-27.4148,-27.5098,1659,0,0,0,12.2,35,ramp,loaded,0.0
0.49651,0.242336,elbow_flex,-28,-28.0969,-27.4148,-27.5098,1659,0,0,0,12.2,35,ramp,loaded,0.0
0.507684,1e-06,elbow_flex,-26,-28.0969,-25.4566,-27.5098,1659,0,0,0,12.2,35,ramp,loaded,0.0
0.518205,0.010522,elbow_flex,-26,-28.0969,-25.4566,-27.5098,1659,0,1044,0,12.2,35,ramp,loaded,0.0
0.528832,0.021149,elbow_flex,-26,-28.0969,-25.4566,-27.5098,1659,0,1076,1,12.2,35,ramp,loaded,0.0
0.539797,0.032114,elbow_flex,-26,-28.0969,-25.4566,-27.5098,1659,0,1104,3,12.2,35,ramp,loaded,0.0
0.550427,0.042744,elbow_flex,-26,-28.0969,-25.4566,-27.5098,1659,0,1164,7,12.2,35,ramp,loaded,0.0
0.561032,0.053349,elbow_flex,-26,-28.0969,-25.4566,-27.5098,1659,0,1156,6,12.1,35,ramp,loaded,0.0
0.572334,0.064651,elbow_flex,-26,-28.0072,-25.4566,-27.4219,1660,50,1152,5,12.2,35,ramp,loaded,7.777
0.583108,0.075425,elbow_flex,-26,-28.0072,-25.4566,-27.4219,1660,50,1120,4,12.2,35,ramp,loaded,0.0
0.59346,0.085777,elbow_flex,-26,-28.0072,-25.4566,-27.4219,1660,0,1120,4,12.2,35,ramp,loaded,0.0
0.604693,0.09701,elbow_flex,-26,-27.9174,-25.4566,-27.334,1661,0,1120,4,12.2,35,ramp,loaded,7.825
0.61571,0.108027,elbow_flex,-26,-27.9174,-25.4566,-27.334,1661,50,1120,4,12.2,35,ramp,loaded,0.0
0.626538,0.118855,elbow_flex,-26,-27.9174,-25.4566,-27.334,1661,50,1116,4,12.2,35,ramp,loaded,0.0
0.636828,0.129145,elbow_flex,-26,-27.9174,-25.4566,-27.334,1661,0,1116,4,12.2,36,ramp,loaded,0.0
0.647453,0.13977,elbow_flex,-26,-27.9174,-25.4566,-27.334,1661,0,1120,4,12.2,35,ramp,loaded,0.0
0.658506,0.150823,elbow_flex,-26,-27.9174,-25.4566,-27.334,1661,0,1120,4,12.2,35,ramp,loaded,0.0
0.66914,0.161457,elbow_flex,-26,-27.9174,-25.4566,-27.334,1661,0,1120,4,12.2,35,ramp,loaded,0.0
0.679743,0.17206,elbow_flex,-26,-27.9174,-25.4566,-27.334,1661,0,1120,5,12.2,35,ramp,loaded,0.0
0.690812,0.183129,elbow_flex,-26,-27.9174,-25.4566,-27.334,1661,0,1120,4,12.2,35,ramp,loaded,0.0
0.701448,0.193765,elbow_flex,-26,-27.9174,-25.4566,-27.334,1661,0,1120,4,12.2,35,ramp,loaded,0.0
0.71208,0.204397,elbow_flex,-26,-27.9174,-25.4566,-27.334,1661,0,1120,4,12.2,35,ramp,loaded,0.0
0.722222,0.214539,elbow_flex,-26,-27.9174,-25.4566,-27.334,1661,0,1120,5,12.2,35,ramp,loaded,0.0
0.732844,0.225161,elbow_flex,-26,-27.9174,-25.4566,-27.334,1661,0,1120,4,12.2,35,ramp,loaded,0.0
0.743449,0.235766,elbow_flex,-26,-27.9174,-25.4566,-27.334,1661,0,1120,4,12.2,35,ramp,loaded,0.0
0.753857,0.246174,elbow_flex,-26,-27.9174,-25.4566,-27.334,1661,0,1120,4,12.2,35,ramp,loaded,0.0
0.764995,1e-06,elbow_flex,-24,-27.9174,-23.4984,-27.334,1661,0,1120,4,12.2,35,ramp,loaded,0.0
0.775301,0.010307,elbow_flex,-24,-27.9174,-23.4984,-27.334,1661,0,1124,4,12.2,35,ramp,loaded,0.0
0.785931,0.020937,elbow_flex,-24,-27.9174,-23.4984,-27.334,1661,0,1156,8,12.2,35,ramp,loaded,0.0
0.796449,0.031456,elbow_flex,-24,-27.9174,-23.4984,-27.334,1661,0,1188,11,12.2,35,ramp,loaded,0.0
0.807083,0.042089,elbow_flex,-24,-27.9174,-23.4984,-27.334,1661,0,1252,20,12.1,35,ramp,loaded,0.0
0.818185,0.053192,elbow_flex,-24,-27.7379,-23.4984,-27.1582,1663,50,1256,11,12.2,35,ramp,loaded,15.835
0.828941,0.063947,elbow_flex,-24,-27.4686,-23.4984,-26.8945,1666,200,1208,10,12.1,35,ramp,loaded,24.517
0.839071,0.074077,elbow_flex,-24,-27.289,-23.4984,-26.7187,1668,200,1168,8,12.2,35,ramp,loaded,17.354
0.849532,0.084538,elbow_flex,-24,-27.1095,-23.4984,-26.543,1670,200,1160,6,12.1,35,ramp,loaded,16.796
0.860583,0.095589,elbow_flex,-24,-27.0197,-23.4984,-26.4551,1671,200,1160,5,12.2,35,ramp,loaded,7.954
0.870651,0.105657,elbow_flex,-24,-26.8402,-23.4984,-26.2793,1673,150,1152,5,12.2,35,ramp,loaded,17.461
0.881014,0.11602,elbow_flex,-24,-26.6607,-23.4984,-26.1035,1675,150,1140,3,12.2,35,ramp,loaded,16.964
0.891596,0.126602,elbow_flex,-24,-26.5709,-23.4984,-26.0156,1676,150,1136,4,12.2,50,ramp,loaded,8.307
0.902231,0.137237,elbow_flex,-24,-26.4811,-23.4984,-25.9277,1677,150,1144,5,12.2,35,ramp,loaded,8.265
0.912811,0.147817,elbow_flex,-24,-26.4811,-23.4984,-25.9277,1677,50,1144,5,12.2,35,ramp,loaded,0.0
0.923416,0.158423,elbow_flex,-24,-26.3914,-23.4984,-25.8398,1678,50,1136,4,12.2,35,ramp,loaded,8.289
0.934002,0.169008,elbow_flex,-24,-26.3914,-23.4984,-25.8398,1678,50,1136,6,12.2,35,ramp,loaded,0.0
0.944093,0.1791,elbow_flex,-24,-26.3914,-23.4984,-25.8398,1678,50,1144,6,12.2,35,ramp,loaded,0.0
0.955014,0.19002,elbow_flex,-24,-26.3016,-23.4984,-25.752,1679,0,1140,6,12.2,35,ramp,loaded,8.04
0.965161,0.200167,elbow_flex,-24,-26.3016,-23.4984,-25.752,1679,0,1136,8,12.2,35,ramp,loaded,0.0
0.975753,0.210759,elbow_flex,-24,-26.3016,-23.4984,-25.752,1679,50,1136,6,12.2,35,ramp,loaded,0.0
0.986467,0.221473,elbow_flex,-24,-26.3016,-23.4984,-25.752,1679,50,1140,5,12.2,35,ramp,loaded,0.0
0.99709,0.232096,elbow_flex,-24,-26.3016,-23.4984,-25.752,1679,0,1140,7,12.2,35,ramp,loaded,0.0
1.008176,0.243182,elbow_flex,-24,-26.3016,-23.4984,-25.752,1679,0,1140,7,12.2,35,ramp,loaded,0.0
1.019341,1e-06,elbow_flex,-22,-26.3016,-21.5402,-25.752,1679,0,1140,6,12.2,35,ramp,loaded,0.0
1.029416,0.010076,elbow_flex,-22,-26.3016,-21.5402,-25.752,1679,0,1144,7,12.2,35,ramp,loaded,0.0
1.040011,0.020671,elbow_flex,-22,-26.3016,-21.5402,-25.752,1679,0,1184,12,12.2,35,ramp,loaded,0.0
1.051047,0.031708,elbow_flex,-22,-26.3016,-21.5402,-25.752,1679,0,1212,11,12.2,35,ramp,loaded,0.0
1.061637,0.042297,elbow_flex,-22,-26.2118,-21.5402,-25.6641,1680,0,1256,18,12.1,35,ramp,loaded,8.3
1.072459,0.053119,elbow_flex,-22,-26.0323,-21.5402,-25.4883,1682,100,1260,19,12.1,35,ramp,loaded,16.245
1.083042,0.063702,elbow_flex,-22,-25.763,-21.5402,-25.2246,1685,100,1208,13,12.2,35,ramp,loaded,24.917
1.094086,0.074746,elbow_flex,-22,-25.4937,-21.5402,-24.9609,1688,250,1196,8,12.2,35,ramp,loaded,23.877
1.104151,0.084811,elbow_flex,-22,-25.3142,-21.5402,-24.7852,1690,250,1168,6,12.2,35,ramp,loaded,17.457
1.11527,0.09593,elbow_flex,-22,-25.1346,-21.5402,-24.6094,1692,200,1160,5,12.2,39,ramp,loaded,15.811
1.125865,0.106525,elbow_flex,-22,-24.9551,-21.5402,-24.4336,1694,200,1148,5,12.1,35,ramp,loaded,16.593
1.135965,0.116625,elbow_flex,-22,-24.8654,-21.5402,-24.3457,1695,200,1140,4,12.2,35,ramp,loaded,8.703
1.146544,0.127204,elbow_flex,-22,-24.6858,-21.5402,-24.1699,1697,150,1144,4,12.2,35,ramp,loaded,16.618
1.157351,0.138011,elbow_flex,-22,-24.5961,-21.5402,-24.082,1698,150,1144,4,12.2,35,ramp,loaded,8.134
1.167937,0.148597,elbow_flex,-22,-24.5063,-21.5402,-23.9941,1699,100,1140,6,12.2,35,ramp,loaded,8.303
1.17901,0.15967,elbow_flex,-22,-24.5063,-21.5402,-23.9941,1699,100,1144,5,12.2,35,ramp,loaded,0.0
1.189571,0.170231,elbow_flex,-22,-24.5063,-21.5402,-23.9941,1699,0,1144,5,12.2,35,ramp,loaded,0.0
1.20068,0.18134,elbow_flex,-22,-24.4165,-21.5402,-23.9062,1700,0,1140,6,12.2,35,ramp,loaded,7.913
1.211315,0.191975,elbow_flex,-22,-24.4165,-21.5402,-23.9062,1700,50,1140,5,12.2,35,ramp,loaded,0.0
1.222437,0.203097,elbow_flex,-22,-24.3268,-21.5402,-23.8184,1701,50,1140,7,12.2,35,ramp,loaded,7.894
1.233066,0.213726,elbow_flex,-22,-24.3268,-21.5402,-23.8184,1701,50,1140,6,12.2,35,ramp,loaded,0.0
1.243669,0.224329,elbow_flex,-22,-24.3268,-21.5402,-23.8184,1701,50,1136,5,12.2,35,ramp,loaded,0.0
1.253744,0.234404,elbow_flex,-22,-24.3268,-21.5402,-23.8184,1701,0,1136,6,12.2,35,ramp,loaded,0.0
1.264426,0.245086,elbow_flex,-22,-24.3268,-21.5402,-23.8184,1701,0,1140,6,12.2,35,ramp,loaded,0.0
1.275649,2e-06,elbow_flex,-20,-24.3268,-19.582,-23.8184,1701,0,1140,6,12.2,35,ramp,loaded,0.0
1.286211,0.010564,elbow_flex,-20,-24.3268,-19.582,-23.8184,1701,0,1144,6,12.2,35,ramp,loaded,0.0
1.296846,0.021199,elbow_flex,-20,-24.3268,-19.582,-23.8184,1701,0,1188,10,12.2,35,ramp,loaded,0.0
1.30776,0.032114,elbow_flex,-20,-24.3268,-19.582,-23.8184,1701,0,1216,13,12.2,35,ramp,loaded,0.0
1.318391,0.042744,elbow_flex,-20,-24.237,-19.582,-23.7305,1702,0,1256,16,12.1,35,ramp,loaded,8.268
1.329453,0.053806,elbow_flex,-20,-24.0575,-19.582,-23.5547,1704,150,1260,16,12.1,35,ramp,loaded,15.892
1.340074,0.064428,elbow_flex,-20,-23.7882,-19.582,-23.291,1707,150,1200,7,12.1,35,ramp,loaded,24.828
1.350166,0.074519,elbow_flex,-20,-23.5189,-19.582,-23.0273,1710,250,1192,10,12.1,35,ramp,loaded,26.13
1.360795,0.085148,elbow_flex,-20,-23.3393,-19.582,-22.8516,1712,250,1160,5,12.2,35,ramp,loaded,16.53
1.371804,0.096158,elbow_flex,-20,-23.1598,-19.582,-22.6758,1714,200,1152,4,12.2,35,ramp,loaded,15.969
1.382435,0.106788,elbow_flex,-20,-22.8905,-19.582,-22.4121,1717,200,1148,4,12.2,35,ramp,loaded,24.805
1.393506,0.117859,elbow_flex,-20,-22.8007,-19.582,-22.3242,1718,200,1144,4,12.2,35,ramp,loaded,7.94
1.403574,0.127927,elbow_flex,-20,-22.6212,-19.582,-22.1484,1720,200,1136,3,12.2,35,ramp,loaded,17.461
1.414547,0.138901,elbow_flex,-20,-22.5314,-19.582,-22.0605,1721,150,1132,4,12.1,35,ramp,loaded,8.011
1.425148,0.149501,elbow_flex,-20,-22.5314,-19.582,-22.0605,1721,50,1140,4,12.2,35,ramp,loaded,0.0
1.435685,0.160038,elbow_flex,-20,-22.4417,-19.582,-21.9727,1722,50,1140,5,12.2,35,ramp,loaded,8.333
1.446313,0.170666,elbow_flex,-20,-22.4417,-19.582,-21.9727,1722,50,1140,6,12.2,45,ramp,loaded,0.0
1.456416,0.180769,elbow_flex,-20,-22.4417,-19.582,-21.9727,1722,50,1144,6,12.1,35,ramp,loaded,0.0
1.467054,0.191407,elbow_flex,-20,-22.4417,-19.582,-21.9727,1722,0,1144,6,12.2,35,ramp,loaded,0.0
1.478104,0.202457,elbow_flex,-20,-22.4417,-19.582,-21.9727,1722,0,1144,6,12.1,35,ramp,loaded,0.0
1.488371,0.212724,elbow_flex,-20,-22.3519,-19.582,-21.8848,1723,0,1140,6,12.2,35,ramp,loaded,8.561
1.498991,0.223344,elbow_flex,-20,-22.3519,-19.582,-21.8848,1723,0,1136,5,12.2,35,ramp,loaded,0.0
1.50957,0.233923,elbow_flex,-20,-22.3519,-19.582,-21.8848,1723,50,1136,7,12.2,35,ramp,loaded,0.0
1.520415,0.244768,elbow_flex,-20,-22.3519,-19.582,-21.8848,1723,50,1140,7,12.2,35,ramp,loaded,0.0
1.530942,1e-06,elbow_flex,-18,-22.3519,-17.6238,-21.8848,1723,0,1140,6,12.2,35,ramp,loaded,0.0
1.541486,0.010544,elbow_flex,-18,-22.3519,-17.6238,-21.8848,1723,0,1144,7,12.2,35,ramp,loaded,0.0
1.552754,0.021813,elbow_flex,-18,-22.3519,-17.6238,-21.8848,1723,0,1164,8,12.2,35,ramp,loaded,0.0
1.563329,0.032387,elbow_flex,-18,-22.3519,-17.6238,-21.8848,1723,0,1228,17,12.2,35,ramp,loaded,0.0
1.574031,0.04309,elbow_flex,-18,-22.2621,-17.6238,-21.7969,1724,0,1244,18,12.1,35,ramp,loaded,8.213
1.584623,0.053682,elbow_flex,-18,-22.0826,-17.6238,-21.6211,1726,150,1260,14,12.1,35,ramp,loaded,16.597
1.595645,0.064704,elbow_flex,-18,-21.8133,-17.6238,-21.3574,1729,150,1192,6,12.2,35,ramp,loaded,23.925
1.606381,0.075439,elbow_flex,-18,-21.544,-17.6238,-21.0938,1732,250,1180,10,12.2,35,ramp,loaded,24.553
1.6165,0.085559,elbow_flex,-18,-21.3645,-17.6238,-20.918,1734,250,1164,7,12.2,35,ramp,loaded,17.373
1.627086,0.096145,elbow_flex,-18,-21.1849,-17.6238,-20.7422,1736,200,1156,5,12.2,35,ramp,loaded,16.607
1.637271,0.10633,elbow_flex,-18,-21.0054,-17.6238,-20.5664,1738,200,1152,4,12.2,35,ramp,loaded,17.261
1.647935,0.116994,elbow_flex,-18,-20.8259,-17.6238,-20.3906,1740,200,1144,4,12.1,35,ramp,loaded,16.485
1.658177,0.127236,elbow_flex,-18,-20.6463,-17.6238,-20.2148,1742,200,1140,2,12.2,35,ramp,loaded,17.165
1.668777,0.137835,elbow_flex,-18,-20.5566,-17.6238,-20.127,1743,150,1136,4,12.2,35,ramp,loaded,8.283
1.679407,0.148466,elbow_flex,-18,-20.4668,-17.6238,-20.0391,1744,150,1136,4,12.2,35,ramp,loaded,8.269
1.690013,0.159072,elbow_flex,-18,-20.4668,-17.6238,-20.0391,1744,100,1136,5,12.2,35,ramp,loaded,0.0
1.70065,0.169708,elbow_flex,-18,-20.377,-17.6238,-19.9512,1745,100,1136,5,12.2,35,ramp,loaded,8.264
1.711247,0.180306,elbow_flex,-18,-20.377,-17.6238,-19.9512,1745,50,1136,7,12.2,35,ramp,loaded,0.0
1.722368,0.191427,elbow_flex,-18,-20.377,-17.6238,-19.9512,1745,50,1136,6,12.2,35,ramp,loaded,0.0
1.732992,0.202051,elbow_flex,-18,-20.377,-17.6238,-19.9512,1745,0,1136,6,12.2,35,ramp,loaded,0.0
1.743085,0.212144,elbow_flex,-18,-20.377,-17.6238,-19.9512,1745,0,1140,6,12.2,35,ramp,loaded,0.0
1.753654,0.222712,elbow_flex,-18,-20.377,-17.6238,-19.9512,1745,0,1140,5,12.2,35,ramp,loaded,0.0
1.763996,0.233055,elbow_flex,-18,-20.2873,-17.6238,-19.8633,1746,50,1136,4,12.2,35,ramp,loaded,8.499
1.77462,0.243679,elbow_flex,-18,-20.2873,-17.6238,-19.8633,1746,50,1132,5,12.2,35,ramp,loaded,0.0
1.785878,2e-06,elbow_flex,-16,-20.2873,-15.6656,-19.8633,1746,0,1132,5,12.2,35,ramp,loaded,0.0
1.796856,0.01098,elbow_flex,-16,-20.2873,-15.6656,-19.8633,1746,0,1140,6,12.2,35,ramp,loaded,0.0
1.807501,0.021625,elbow_flex,-16,-20.2873,-15.6656,-19.8633,1746,0,1160,8,12.1,35,ramp,loaded,0.0
1.818886,0.03301,elbow_flex,-16,-20.2873,-15.6656,-19.8633,1746,0,1232,23,12.1,34,ramp,loaded,0.0
1.829489,0.043613,elbow_flex,-16,-20.1077,-15.6656,-19.6875,1748,50,1248,14,12.1,35,ramp,loaded,16.58
1.840074,0.054197,elbow_flex,-16,-19.8384,-15.6656,-19.4238,1751,50,1244,14,12.1,35,ramp,loaded,24.913
1.850198,0.064322,elbow_flex,-16,-19.6589,-15.6656,-19.248,1753,200,1236,11,12.1,35,ramp,loaded,17.365
1.860825,0.074948,elbow_flex,-16,-19.3896,-15.6656,-18.9844,1756,200,1168,7,12.2,35,ramp,loaded,24.805
1.871996,0.08612,elbow_flex,-16,-19.1203,-15.6656,-18.7207,1759,300,1160,6,12.2,35,ramp,loaded,23.606
1.882424,0.096548,elbow_flex,-16,-18.9408,-15.6656,-18.5449,1761,200,1148,5,12.2,35,ramp,loaded,16.858
1.892533,0.106657,elbow_flex,-16,-18.7612,-15.6656,-18.3691,1763,200,1144,4,12.2,35,ramp,loaded,17.39
1.903074,0.117198,elbow_flex,-16,-18.5817,-15.6656,-18.1934,1765,200,1132,3,12.2,35,ramp,loaded,16.668
1.913726,0.12785,elbow_flex,-16,-18.4919,-15.6656,-18.1055,1766,200,1132,3,12.2,35,ramp,loaded,8.252
1.924482,0.138606,elbow_flex,-16,-18.3124,-15.6656,-17.9297,1768,150,1128,3,12.2,35,ramp,loaded,16.344
1.934843,0.148967,elbow_flex,-16,-18.2226,-15.6656,-17.8418,1769,150,1124,4,12.2,35,ramp,loaded,8.484
1.945428,0.159552,elbow_flex,-16,-18.2226,-15.6656,-17.8418,1769,50,1124,5,12.2,35,ramp,loaded,0.0
1.95566,0.169784,elbow_flex,-16,-18.2226,-15.6656,-17.8418,1769,50,1136,6,12.2,36,ramp,loaded,0.0
1.966146,0.18027,elbow_flex,-16,-18.2226,-15.6656,-17.8418,1769,0,1136,5,12.2,35,ramp,loaded,0.0
1.976336,0.19046,elbow_flex,-16,-18.1329,-15.6656,-17.7539,1770,0,1128,5,12.2,35,ramp,loaded,8.626
1.986625,0.200749,elbow_flex,-16,-18.1329,-15.6656,-17.7539,1770,50,1128,4,12.2,35,ramp,loaded,0.0
1.997164,0.211288,elbow_flex,-16,-18.1329,-15.6656,-17.7539,1770,50,1132,5,12.2,34,ramp,loaded,0.0
2.007792,0.221916,elbow_flex,-16,-18.0431,-15.6656,-17.666,1771,0,1128,4,12.2,35,ramp,loaded,8.271
2.017838,0.231962,elbow_flex,-16,-18.0431,-15.6656,-17.666,1771,0,1124,4,12.2,35,ramp,loaded,0.0
2.028443,0.242567,elbow_flex,-16,-18.0431,-15.6656,-17.666,1771,50,1124,5,12.2,35,ramp,loaded,0.0
2.040026,1e-06,elbow_flex,-14,-18.0431,-13.7074,-17.666,1771,50,1128,5,12.2,35,ramp,loaded,0.0
2.050375,0.010351,elbow_flex,-14,-18.0431,-13.7074,-17.666,1771,0,1132,6,12.2,35,ramp,loaded,0.0
2.060934,0.02091,elbow_flex,-14,-18.0431,-13.7074,-17.666,1771,0,1156,7,12.2,35,ramp,loaded,0.0
2.071815,0.031791,elbow_flex,-14,-18.0431,-13.7074,-17.666,1771,0,1228,18,12.1,35,ramp,loaded,0.0
2.08237,0.042345,elbow_flex,-14,-18.0431,-13.7074,-17.666,1771,0,1252,17,12.1,35,ramp,loaded,0.0
2.092732,0.052707,elbow_flex,-14,-17.8636,-13.7074,-17.4902,1773,0,1232,12,12.2,35,ramp,loaded,16.966
2.102783,0.062759,elbow_flex,-14,-17.5943,-13.7074,-17.2266,1776,250,1224,12,12.2,35,ramp,loaded,26.226
